id,nombre,horasTrabajadas,sueldo
1,Lou,120,10000.00
2,Ulrike,180,25000.00
3,Brade,325,20000.00
4,Kimbell,120,50000.00
5,Sheelagh,220,18000.00
6,Gayle,120,30000.00
7,Kimberlee,60,33000.00
8,Henrieta,90,30000.00
9,Jeanine,325,18000.00
10,Aggie,75,15000.00
11,Brandea,180,15000.00
12,Cordelie,325,50000.00
13,Shel,120,50000.00
14,Bronnie,60,20000.00
15,Megen,180,10000.00
16,Iver,90,12000.00
17,Ernesta,60,37000.00
18,Cirillo,88,50000.00
19,Park,120,30000.00
20,Bellanca,88,15000.00
21,Bobbye,180,15000.00
22,Eugene,88,50000.00
23,Johnny,325,33000.00
24,Reagen,90,42000.00
25,Braden,180,25000.00
26,Karim,75,25000.00
27,Anthea,90,42000.00
28,Doro,120,33000.00
29,Gaye,120,37000.00
30,Toby,180,15000.00
31,Franny,325,15000.00
32,Katey,180,42000.00
33,Earle,90,10000.00
34,Redd,88,42000.00
35,Jehanna,220,50000.00
36,Cristie,180,10000.00
37,Stefa,88,42000.00
38,Roda,90,25000.00
39,Alfredo,88,10000.00
40,Sydney,75,10000.00
41,Brnaba,180,30000.00
42,Ame,88,50000.00
43,Bradney,88,25000.00
44,Margarete,120,50000.00
45,Nikoletta,120,50000.00
46,Lonnard,75,50000.00
47,Raine,180,30000.00
48,Noella,120,15000.00
49,Dagmar,88,25000.00
50,Carroll,220,42000.00
51,Marion,88,50000.00
52,Carline,220,12000.00
53,Hyacinthie,75,15000.00
54,Julina,120,33000.00
55,Corina,220,37000.00
56,Bernardine,75,33000.00
57,Homer,180,18000.00
58,Lianna,220,12000.00
59,Celene,120,50000.00
60,Kori,90,50000.00
61,Deeyn,88,20000.00
62,Marysa,75,20000.00
63,Loy,120,15000.00
64,Gabbey,120,37000.00
65,Star,90,33000.00
66,Dominica,120,33000.00
67,Blanch,75,15000.00
68,Cristobal,120,15000.00
69,Paulita,120,50000.00
70,Sayre,180,33000.00
71,Shaughn,90,15000.00
72,Katrine,90,25000.00
73,Cristi,88,42000.00
74,Cristie,90,25000.00
75,Solomon,90,10000.00
76,Nananne,120,33000.00
77,Sacha,90,25000.00
78,Morse,180,25000.00
79,Roland,180,25000.00
80,Jesselyn,180,30000.00
81,Kylila,325,12000.00
82,Kendre,180,25000.00
83,Lesya,90,15000.00
84,Tatiania,120,20000.00
85,Trenton,88,12000.00
86,Angie,90,20000.00
87,Joelle,90,37000.00
88,George,60,30000.00
